Starting Simulation...
num_nodes is set 180
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 250.0
1) 74 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 87 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 53 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 92 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 131 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 102 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 51 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 158 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 118 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 61 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 162 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 25 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 3 receive (0) a RREP MaxSQ=5002, REC=2501 ; MOY=5002 accepted 
1) 115 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 105 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 105 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 114 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 140 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 17 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 41 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 174 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 0 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 41 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 3 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 44 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 63 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
2) 63 receive (4) a RREP MaxSQ=7, REC=1 ; MOY=3 accepted 
1) 122 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 87 receive (0) a RREP MaxSQ=11004, REC=4501 ; MOY=5502 accepted 
1) 116 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 101 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
2) 44 receive (0) a RREP MaxSQ=8, REC=2 ; MOY=4 accepted 
2) 122 receive (0) a RREP MaxSQ=7, REC=2 ; MOY=3 accepted 
2) 61 receive (0) a RREP MaxSQ=7, REC=2 ; MOY=3 accepted 
1) 100 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
2) 131 receive (0) a RREP MaxSQ=7, REC=2 ; MOY=3 accepted 
1) 179 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
1) 1 receive (0) a RREP MaxSQ=4, REC=2 ; MOY=4 accepted 
2) 102 receive (5002) a RREP MaxSQ=16004, REC=5501 ; MOY=8002 accepted 
2) 118 receive (5002) a RREP MaxSQ=16004, REC=5501 ; MOY=8002 accepted 
1) 2 receive (0) a RREP MaxSQ=11002, REC=5501 ; MOY=11002 accepted 
1) 86 receive (0) a RREP MaxSQ=11002, REC=5501 ; MOY=11002 accepted 
2) 86 receive (0) a RREP MaxSQ=11005, REC=1 ; MOY=5502 accepted 
1) 79 receive (0) a RREP MaxSQ=11002, REC=5501 ; MOY=11002 accepted 
1) 99 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 59 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 74 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 167 receive (0) a RREP MaxSQ=11002, REC=5501 ; MOY=11002 accepted 
2) 167 receive (0) a RREP MaxSQ=11005, REC=1 ; MOY=5502 accepted 
1) 160 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 13 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 4 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 87 receive (0) a RREP MaxSQ=23006, REC=6001 ; MOY=7668 accepted 
2) 140 receive (0) a RREP MaxSQ=8, REC=2 ; MOY=4 accepted 
1) 3 receive (4) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 86 receive (3) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 62 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 164 receive (0) a RREP MaxSQ=13002, REC=6501 ; MOY=13002 accepted 
1) 107 receive (0) a RREP MaxSQ=13002, REC=6501 ; MOY=13002 accepted 
1) 2 receive (0) a RREP MaxSQ=13002, REC=6501 ; MOY=13002 accepted 
1) 59 receive (3) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 45 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 68 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 86 receive (3) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
2) 68 receive (3) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 161 receive (0) a RREP MaxSQ=14002, REC=7001 ; MOY=14002 accepted 
2) 158 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 159 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 68 receive (3) a RREP MaxSQ=9, REC=1 ; MOY=3 accepted 
1) 157 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 63 receive (0) a RREP MaxSQ=10, REC=1 ; MOY=3 accepted 
1) 136 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 58 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 105 receive (0) a RREP MaxSQ=9, REC=1 ; MOY=3 accepted 
3) 44 receive (0) a RREP MaxSQ=11, REC=1 ; MOY=3 accepted 
3) 86 receive (3) a RREP MaxSQ=9, REC=1 ; MOY=3 accepted 
1) 98 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 25 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
2) 157 receive (3) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
3) 25 receive (3) a RREP MaxSQ=9, REC=1 ; MOY=3 accepted 
4) 63 receive (3) a RREP MaxSQ=13, REC=1 ; MOY=3 accepted 
2) 59 receive (3) a RREP MaxSQ=9, REC=3 ; MOY=4 accepted 
2) 79 receive (0) a RREP MaxSQ=11005, REC=1 ; MOY=5502 accepted 
5) 63 receive (3) a RREP MaxSQ=16, REC=1 ; MOY=3 accepted 
4) 86 receive (3) a RREP MaxSQ=12, REC=1 ; MOY=3 accepted 
5) 86 receive (3) a RREP MaxSQ=15, REC=1 ; MOY=3 accepted 
3) 59 receive (6) a RREP MaxSQ=12, REC=1 ; MOY=4 accepted 
4) 59 receive (6) a RREP MaxSQ=15, REC=1 ; MOY=3 accepted 
1) 69 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
6) 63 receive (3) a RREP MaxSQ=19, REC=1 ; MOY=3 accepted 
7) 63 receive (3) a RREP MaxSQ=22, REC=1 ; MOY=3 accepted 
1) 22 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
6) 86 receive (3) a RREP MaxSQ=18, REC=1 ; MOY=3 accepted 
3) 122 receive (0) a RREP MaxSQ=10, REC=1 ; MOY=3 accepted 
5) 59 receive (6) a RREP MaxSQ=18, REC=1 ; MOY=3 accepted 
8) 63 receive (3) a RREP MaxSQ=25, REC=1 ; MOY=3 accepted 
7) 86 receive (3) a RREP MaxSQ=21, REC=1 ; MOY=3 accepted 
3) 102 receive (0) a RREP MaxSQ=32006, REC=8001 ; MOY=10668 accepted 
2) 116 receive (4) a RREP MaxSQ=11, REC=3 ; MOY=5 accepted 
2) 164 receive (0) a RREP MaxSQ=30004, REC=8501 ; MOY=15002 accepted 
3) 118 receive (0) a RREP MaxSQ=32006, REC=8001 ; MOY=10668 accepted 
1) 37 receive (0) a RREP MaxSQ=16002, REC=8001 ; MOY=16002 accepted 
3) 41 receive (0) a RREP MaxSQ=16008, REC=8001 ; MOY=5336 refused 
1) 88 receive (0) a RREP MaxSQ=17002, REC=8501 ; MOY=17002 accepted 
1) 86 receive (11002) a RREP MaxSQ=17002, REC=8501 ; MOY=17002 accepted 
3) 79 receive (11002) a RREP MaxSQ=28007, REC=8501 ; MOY=9335 accepted 
2) 98 receive (0) a RREP MaxSQ=17005, REC=8501 ; MOY=8502 accepted 
4) 68 receive (0) a RREP MaxSQ=17011, REC=8501 ; MOY=4252 refused 
2) 179 receive (0) a RREP MaxSQ=11, REC=3 ; MOY=5 accepted 
3) 131 receive (3) a RREP MaxSQ=14, REC=3 ; MOY=4 accepted 
1) 64 receive (0) a RREP MaxSQ=7, REC=3 ; MOY=7 accepted 
2) 62 receive (0) a RREP MaxSQ=10, REC=3 ; MOY=5 accepted 
3) 164 receive (0) a RREP MaxSQ=48006, REC=9001 ; MOY=16002 accepted 
1) 117 receive (0) a RREP MaxSQ=7, REC=3 ; MOY=7 accepted 
1) 156 receive (0) a RREP MaxSQ=18002, REC=9001 ; MOY=18002 accepted 
1) 123 receive (0) a RREP MaxSQ=7, REC=3 ; MOY=7 accepted 
1) 171 receive (0) a RREP MaxSQ=18002, REC=9001 ; MOY=18002 accepted 
1) 0 receive (4) a RREP MaxSQ=7, REC=3 ; MOY=7 accepted 
1) 18 receive (0) a RREP MaxSQ=18002, REC=9001 ; MOY=18002 accepted 
1) 78 receive (0) a RREP MaxSQ=18002, REC=9001 ; MOY=18002 accepted 
1) 86 receive (3) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 18 receive (0) a RREP MaxSQ=18005, REC=1 ; MOY=9002 accepted 
2) 86 receive (3) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
3) 86 receive (3) a RREP MaxSQ=9, REC=1 ; MOY=3 accepted 
3) 18 receive (3) a RREP MaxSQ=18008, REC=1 ; MOY=6002 accepted 
1) 76 receive (0) a RREP MaxSQ=8, REC=4 ; MOY=8 accepted 
