Starting Simulation...
num_nodes is set 140
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 250.0
1) 128 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 0 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 94 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 119 receive (0) a RREP MaxSQ=2002, REC=1001 ; MOY=2002 accepted 
1) 47 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 101 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 13 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 75 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 94 receive (0) a RREP MaxSQ=5004, REC=1501 ; MOY=2502 accepted 
1) 21 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 29 receive (0) a RREP MaxSQ=3002, REC=1501 ; MOY=3002 accepted 
1) 23 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 43 receive (0) a RREP MaxSQ=3002, REC=1501 ; MOY=3002 accepted 
1) 1 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 33 receive (0) a RREP MaxSQ=3002, REC=1501 ; MOY=3002 accepted 
2) 33 receive (0) a RREP MaxSQ=3005, REC=1 ; MOY=1502 accepted 
1) 35 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
2) 43 receive (0) a RREP MaxSQ=5004, REC=1001 ; MOY=2502 accepted 
2) 1 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 37 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 120 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 4 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 94 receive (0) a RREP MaxSQ=9006, REC=2001 ; MOY=3002 accepted 
1) 65 receive (0) a RREP MaxSQ=4002, REC=2001 ; MOY=4002 accepted 
2) 47 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
2) 101 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
2) 13 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
2) 75 receive (0) a RREP MaxSQ=6, REC=1 ; MOY=3 accepted 
1) 22 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 81 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
1) 3 receive (0) a RREP MaxSQ=3, REC=1 ; MOY=3 accepted 
3) 47 receive (3) a RREP MaxSQ=11, REC=2 ; MOY=3 accepted 
3) 101 receive (3) a RREP MaxSQ=11, REC=2 ; MOY=3 accepted 
1) 127 receive (0) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 17 receive (0) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 95 receive (0) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 61 receive (0) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
2) 23 receive (4) a RREP MaxSQ=8, REC=2 ; MOY=4 accepted 
1) 1 receive (4) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 78 receive (0) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 0 receive (4) a RREP MaxSQ=5, REC=2 ; MOY=5 accepted 
1) 50 receive (0) a RREP MaxSQ=7002, REC=3501 ; MOY=7002 accepted 
4) 94 receive (4003) a RREP MaxSQ=17008, REC=4001 ; MOY=4252 accepted 
